"","UID","Jan18_rade9h_sum","Feb18_rade9h_sum","Mar18_rade9h_sum","Apr18_rade9h_sum","May18_rade9h_sum","Jun18_rade9h_sum","Jul18_rade9h_sum","Aug18_rade9h_sum","Sep18_rade9h_sum","Oct18_rade9h_sum","Nov18_rade9h_sum","Dec18_rade9h_sum","Jan18_outlier_smth_sum","Feb18_outlier_smth_sum","Mar18_outlier_smth_sum","Apr18_outlier_smth_sum","May18_outlier_smth_sum","Jun18_outlier_smth_sum","Jul18_outlier_smth_sum","Aug18_outlier_smth_sum","Sep18_outlier_smth_sum","Oct18_outlier_smth_sum","Nov18_outlier_smth_sum","Dec18_outlier_smth_sum","Jan18_rade9h_sum_diff","Feb18_rade9h_sum_diff","Mar18_rade9h_sum_diff","Apr18_rade9h_sum_diff","May18_rade9h_sum_diff","Jun18_rade9h_sum_diff","Jul18_rade9h_sum_diff","Aug18_rade9h_sum_diff","Sep18_rade9h_sum_diff","Oct18_rade9h_sum_diff","Nov18_rade9h_sum_diff","Dec18_rade9h_sum_diff","Jan18_outlier_smth_sum_diff","Feb18_outlier_smth_sum_diff","Mar18_outlier_smth_sum_diff","Apr18_outlier_smth_sum_diff","May18_outlier_smth_sum_diff","Jun18_outlier_smth_sum_diff","Jul18_outlier_smth_sum_diff","Aug18_outlier_smth_sum_diff","Sep18_outlier_smth_sum_diff","Oct18_outlier_smth_sum_diff","Nov18_outlier_smth_sum_diff","Dec18_outlier_smth_sum_diff"
"11",1845,3069.65600585938,4840.74609375,5279.7080078125,4202.005859375,3000.26245117188,1656.80249023438,1508.94519042969,1843.11169433594,3050.86889648438,3719.26098632813,5025.73193359375,3663.79760742188,12.5923280715942,15.3080110549927,17.0501518249512,15.120171546936,14.261791229248,13.7467765808105,14.5730676651001,16.1205234527588,17.2445487976074,18.8203125,20.0534820556641,20.7348175048828,-274.74267578125,1771.09008789062,438.9619140625,-1077.7021484375,-1201.74340820312,-1343.4599609375,-147.85729980469,334.16650390625,1207.75720214844,668.39208984375,1306.47094726562,-1361.93432617187,-0.946805000305201,2.7156829833985,1.7421407699585,-1.9299802780152,-0.858380317687999,-0.5150146484375,0.826291084289599,1.5474557876587,1.1240253448486,1.5757637023926,1.2331695556641,0.681335449218697
"12",1905,53344.6875,61347.703125,61445.9765625,63907.7421875,62334.50390625,37986.47265625,32370.94140625,19373.423828125,49633.1640625,54013.39453125,56227.78125,39328.2421875,2487.25805664063,2709.5693359375,2989.88647460938,2750.45776367188,2507.7333984375,2406.83569335938,2667.2255859375,2791.08178710938,2893.79345703125,2661.03881835938,2563.95385742188,2504.9755859375,-927.89453125,8003.015625,98.2734375,2461.765625,-1573.23828125,-24348.03125,-5615.53125,-12997.517578125,30259.740234375,4380.23046875,2214.38671875,-16899.5390625,-305.27172851562,222.31127929687,280.31713867188,-239.4287109375,-242.72436523438,-100.89770507812,260.38989257812,123.85620117188,102.71166992187,-232.75463867187,-97.0849609375,-58.97827148438
"13",1946,93690.109375,105840.9453125,113873.1640625,109790.8828125,88075.0078125,63279.4453125,47015.80859375,29496.04296875,84633.8671875,88224.6171875,104793.328125,60251.09765625,995.290588378906,1027.8955078125,1056.34606933594,1058.77734375,1009.37414550781,1018.71270751953,902.973449707031,891.56640625,1104.1376953125,1057.34350585938,1021.54510498047,1001.66345214844,-7172.78125,12150.8359375,8032.21875,-4082.28125,-21715.875,-24795.5625,-16263.63671875,-17519.765625,55137.82421875,3590.75,16568.7109375,-44542.23046875,-55.455383300784,32.604919433594,28.45056152344,2.43127441406,-49.40319824219,9.33856201172,-115.739257812499,-11.407043457031,212.5712890625,-46.79418945312,-35.79840087891,-19.88165283203
"14",2040,16430.005859375,22079.28125,22544.98046875,20490.435546875,15144.0751953125,9510.7197265625,7193.4521484375,9864.703125,26731.16796875,28568.763671875,27801.587890625,15146.775390625,1266.12963867188,1369.76525878906,1325.53210449219,1487.85437011719,1577.30090332031,1589.49877929688,1452.8046875,1345.50756835938,1481.74096679688,1454.00451660156,1477.46557617188,1443.51806640625,-9517.6484375,5649.275390625,465.69921875,-2054.544921875,-5346.3603515625,-5633.35546875,-2317.267578125,2671.2509765625,16866.46484375,1837.595703125,-767.17578125,-12654.8125,-90.94921875,103.63562011718,-44.23315429687,162.322265625,89.44653320312,12.19787597657,-136.69409179688,-107.29711914062,136.2333984375,-27.73645019532,23.46105957032,-33.94750976563
"15",2094,12521.9091796875,16220.083984375,17593.462890625,15755.5693359375,11483.8701171875,6026.2490234375,4828.8876953125,11126.2646484375,20105.431640625,16457.56640625,19800.4921875,11409.341796875,34.256908416748,35.0331115722656,41.1530685424805,42.863941192627,44.9064292907715,42.609001159668,36.6161117553711,31.9135112762451,37.4385948181152,47.3442611694336,45.3500175476074,39.0037803649902,-4181.9658203125,3698.1748046875,1373.37890625,-1837.8935546875,-4271.69921875,-5457.62109375,-1197.361328125,6297.376953125,8979.1669921875,-3647.865234375,3342.92578125,-8391.150390625,-2.7617530822754,0.776203155517599,6.1199569702149,1.71087265014651,2.0424880981445,-2.2974281311035,-5.9928894042969,-4.702600479126,5.5250835418701,9.9056663513184,-1.9942436218262,-6.3462371826172
"16",2139,18725.978515625,21527.205078125,21533.609375,20707.724609375,15467.240234375,10447.93359375,7478.0146484375,7323.2451171875,16048.10546875,17097.619140625,20399.8359375,13450.177734375,975.335021972656,1086.24328613281,1105.18701171875,1114.61596679688,1153.74987792969,1241.73181152344,1122.15747070313,1112.23620605469,1226.41796875,1146.74133300781,1211.39404296875,1211.90783691406,-1126.82421875,2801.2265625,6.404296875,-825.884765625,-5240.484375,-5019.306640625,-2969.9189453125,-154.76953125,8724.8603515625,1049.513671875,3302.216796875,-6949.658203125,-139.647277832034,110.908264160154,18.94372558594,9.42895507813,39.13391113281,87.98193359375,-119.57434082031,-9.92126464844,114.18176269531,-79.67663574219,64.65270996094,0.513793945309999
"17",2140,13929.146484375,16241.755859375,18061.22265625,16519.15625,12506.904296875,7152.52001953125,6196.96630859375,6746.0888671875,12561.5380859375,13167.9873046875,17593.34375,10907.4970703125,351.509307861328,413.603179931641,365.212646484375,384.480072021484,395.181854248047,391.731872558594,350.868408203125,293.294403076172,411.107788085938,361.726043701172,396.053833007813,383.537567138672,-3506.373046875,2312.609375,1819.466796875,-1542.06640625,-4012.251953125,-5354.38427734375,-955.5537109375,549.12255859375,5815.44921875,606.44921875,4425.3564453125,-6685.8466796875,-42.739288330078,62.093872070313,-48.390533447266,19.267425537109,10.701782226563,-3.44998168945301,-40.863464355469,-57.574005126953,117.813385009766,-49.381744384766,34.327789306641,-12.516265869141
"18",2158,14546.146484375,15219.115234375,16166.638671875,15387.5556640625,11315.263671875,8078.4111328125,6082.71142578125,4965.37109375,11393.5849609375,11470.158203125,15224.0419921875,10102.677734375,788.697326660156,885.114135742188,877.686157226563,859.925415039063,802.171813964844,978.886352539063,939.042846679688,848.129272460938,972.141540527344,895.43896484375,975.517028808594,952.451110839844,-357.3544921875,672.96875,947.5234375,-779.0830078125,-4072.2919921875,-3236.8525390625,-1995.69970703125,-1117.34033203125,6428.2138671875,76.5732421875,3753.8837890625,-5121.3642578125,-171.714416503907,96.4168090820319,-7.427978515625,-17.7607421875,-57.753601074219,176.714538574219,-39.843505859375,-90.91357421875,124.012268066406,-76.702575683594,80.078063964844,-23.06591796875
"19",2159,4799.63916015625,4580.26123046875,4650.1591796875,3952.26611328125,3194.37622070313,2236.30883789063,1566.92614746094,2169.55078125,3508.11767578125,3670.84448242188,4395.41259765625,3666.64135742188,452.934753417969,404.156707763672,437.471862792969,401.200622558594,420.150909423828,438.559387207031,368.101776123047,327.470245361328,388.344207763672,390.481079101563,406.299011230469,405.083435058594,-810.69677734375,-219.3779296875,69.89794921875,-697.89306640625,-757.88989257812,-958.0673828125,-669.38269042969,602.62463378906,1338.56689453125,162.72680664063,724.56811523437,-728.77124023437,-71.684814453125,-48.778045654297,33.315155029297,-36.271240234375,18.950286865234,18.408477783203,-70.457611083984,-40.631530761719,60.873962402344,2.13687133789102,15.817932128906,-1.215576171875
"20",2163,6183.81005859375,10507.61328125,12041.6318359375,9638.0771484375,6711.47998046875,3841.55297851563,3440.6435546875,3951.88842773438,6963.03076171875,8343.36328125,11019.9638671875,7621.08203125,21.2060127258301,23.3638496398926,26.4584102630615,23.8025894165039,19.6589794158936,16.7464141845703,13.7082014083862,13.512622833252,18.9540328979492,20.9766883850098,26.718225479126,21.8694915771484,-2017.60498046875,4323.80322265625,1534.0185546875,-2403.5546875,-2926.59716796875,-2869.92700195312,-400.90942382813,511.24487304688,3011.14233398437,1380.33251953125,2676.6005859375,-3398.8818359375,-7.4598541259765,2.1578369140625,3.0945606231689,-2.6558208465576,-4.1436100006103,-2.9125652313233,-3.0382127761841,-0.195578575134201,5.4414100646972,2.0226554870606,5.7415370941162,-4.8487339019776
